taxonomy_id,phylum,class,order,family,genus,species,strain,Gram.stain,genome_size,,,
1002672,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. IMCC9063,Candidatus Pelagibacter sp. IMCC9063,negative,1284727,,,
1002689,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,Occallatibacter riparius,Occallatibacter riparius,negative,6794547,,,
1002804,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter bizzozeronii,Helicobacter bizzozeronii CIII-1,negative,1807534,,,
1002809,Bacillota,Bacilli,Bacillales,Caryophanaceae,Solibacillus,Solibacillus silvestris,Solibacillus silvestris StLB046,positive,3984229,,,
1003110,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora maris,Micromonospora maris AB-18-032,positive,6668972,,,
1003114,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter yananisis,NA,negative,6155634,,,
1003191,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19,negative,4864410,,,
1003195,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptantibioticus,Streptantibioticus cattleyicolor,Streptomyces cattleya NRRL 8057 = DSM 46488,positive,8094034,,,
1003201,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,Rickettsia typhi str. TH1527,negative,1112372,,,
1003202,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,Rickettsia typhi str. B9991CWPP,negative,1112957,,,
1003238,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia abortus,Chlamydia abortus LLG,negative,1143694,,,
1003239,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillus cereus C1L,positive,6047547,,,
1004,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga sancti,NA,negative,8371305.5,,,
1004159,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus,Photorhabdus tasmaniensis,NA,negative,5163014,,,
1004279,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium muleiense,NA,negative,6809960,,,
1004786,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,Alteromonas mediterranea DE1,negative,4947126,,,
1004787,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,Alteromonas macleodii str. 'Balearic Sea AD45',negative,4674885,,,
1004788,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,Alteromonas macleodii str. 'English Channel 673',negative,4601785,,,
1004901,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia iterans,Gordonia iterans,positive,4006485,,,
1004951,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,Streptococcus suis ST1,positive,2034321,,,
1004952,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,Streptococcus suis D12,positive,2183059,,,
1004954,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella suis,Brucella suis bv. 1 str. S2,negative,3315275,,,
1005041,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,Streptococcus suis SS12,positive,2096866,,,
1005042,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,Streptococcus suis D9,positive,2177656,,,
1005048,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas fungivorans,Collimonas fungivorans Ter331,negative,5186898,,,
1005057,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),negative,627953,,,
1005058,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium anatis,Gallibacterium anatis UMN179,negative,2694139,,,
1005090,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),negative,653223,,,
1005487,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,NA,negative,5505582,,,
1005492,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,NA,negative,5568137,,,
1005665,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia oryzendophytica,NA,negative,4987223,,,
1006,Bacteroidota,Cytophagia,Cytophagales,Marivirgaceae,Marivirga,Marivirga tractuosa,Marivirga tractuosa DSM 4126,negative,4661090.5,,,
1006003,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681,negative,4957773,,,
1006007,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium,Priestia megaterium WSH-002,positive,5075293,,,
1006155,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria weihenstephanensis,Listeria weihenstephanensis,positive,3406292,,,
1006543,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus subsp. aureus T0131,positive,2913900,,,
1006551,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis,Klebsiella michiganensis KCTC 1686,negative,5974109,,,
1006576,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,Defluviitoga tunisiensis,Defluviitoga tunisiensis,negative,2053097,,,
1006581,Mycoplasmatota,-,Mycoplasmoidales,Mycoplasmoidaceae,Mycoplasmoides,Mycoplasmoides gallisepticum,Mycoplasma gallisepticum S6,negative,985433,,,
1006598,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia plymuthica,Serratia plymuthica RVH1,negative,5514320,,,
1007064,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,Streptococcus suis ST3,positive,2028815,,,
1007105,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas sp. T7-7,Pusillimonas sp. T7-7,negative,3924810,,,
1007676,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus ginsenosidimutans,Companilactobacillus ginsenosidimutans,positive,2590556,,,
1007870,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis,Chlamydia trachomatis RC-L2/55,negative,1038870,,,
1007871,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis,Chlamydia trachomatis RC-J/971,negative,1038442,,,
1008,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,Saprospira grandis str. Lewin,negative,4303711,,,
1008297,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,negative,4970096,,,
1008298,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae,Mycobacterium leprae Kyoto-2,positive,3268122,,,
1008305,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium thailandense,NA,negative,2057193,,,
1008307,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Maricurvus,Maricurvus nonylphenolicus,NA,negative,5859353,,,
1008459,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,Taylorella asinigenitalis MCE3,negative,1638559,,,
100886,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Catenibacterium mitsuokai,Catenibacterium mitsuokai,positive,2550858,,,
100901,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Onchocerca ochengi,Wolbachia endosymbiont of Onchocerca ochengi,negative,957990,,,
1009464,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,Gardnerella vaginalis HMP9231,negative,1726519,,,
1009682,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Jeongeupia,Jeongeupia sp. HS-3,Jeongeupia sp. HS-3,negative,3398643,,,
1009714,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAK,negative,6402348.5,,,
1009846,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,NA,negative,6467321,,,
1009856,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. USDA (Myzus persicae),negative,651306,,,
1009857,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. W106 (Myzus persicae),negative,651304,,,
1009858,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. G002 (Myzus persicae),negative,651316,,,
1009859,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,Buchnera aphidicola str. F009 (Myzus persicae),negative,651310,,,
1010,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium mizutaii,Sphingobacterium mizutaii,negative,4641199,,,
101070,Bacillota,Bacilli,Bacillales,Caryophanaceae,Rummeliibacillus,Rummeliibacillus pycnus,NA,positive,4098775.5,,,
1010834,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,Mycobacterium tuberculosis HKBS1,positive,4407929,,,
1010835,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,Mycobacterium tuberculosis BT2,positive,4401899,,,
1010836,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,Mycobacterium tuberculosis BT1,positive,4399405,,,
1010838,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,Mycobacterium avium subsp. paratuberculosis S397,positive,4895755,,,
1010840,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,Streptococcus pyogenes MGAS1882,positive,1781029,,,
1014,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella virosa,Weeksella virosa,negative,2245783,,,
101510,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii,Rhodococcus jostii RHA1,positive,9702737,,,
101534,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmanniella,Candidatus Blochmanniella pennsylvanica,Candidatus Blochmannia pennsylvanicus,negative,791499,,,
101571,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ubonensis,Burkholderia ubonensis,negative,7475651.5,,,
1016987,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. THN1,Novosphingobium sp. THN1,negative,4649073,,,
1016998,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,negative,4858887,,,
1017,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis,Capnocytophaga gingivalis,negative,2838633,,,
1017264,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,Bordetella pertussis CS,negative,4132933.5,,,
1017270,Bacillota,Bacilli,Bacillales,Fictibacillaceae,Fictibacillus,Fictibacillus enclensis,NA,positive,4500901,,,
1018,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,Capnocytophaga ochracea,negative,2692902,,,
1019,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,Capnocytophaga sputigena,negative,3004327,,,
102148,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium moorei,NA,positive,1989891,,,
102608,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Helicobacter pylori F32,negative,1581461,,,
102611,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Helicobacter pylori J166,negative,1650561,,,
102617,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Helicobacter pylori SS1,negative,1624943,,,
102618,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 = JCM 12093,negative,1680937,,,
102684,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius,Streptococcus infantarius,positive,1841479,,,
1027396,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria monocytogenes str. Scott A,positive,3021822,,,
1027627,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BAC,Bacillus sp. BAC,positive,4226888,,,
1027966,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. HR96,NA,negative,5867581,,,
1028307,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,Klebsiella aerogenes KCTC 2190,negative,5280350,,,
1028416,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. DAB_AL43B,Psychrobacter sp. DAB_AL43B,negative,3309148,,,
102862,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus penneri,Proteus penneri,negative,3850796,,,
1028752,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella aestuarii,Shewanella aestuarii,negative,4178427,,,
1028799,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus subsp. aureus VC40,positive,2692570,,,
1028800,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae,Neorhizobium galegae bv. orientalis str. HAMBI 540,negative,6455027,,,
1028801,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae,Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141,negative,6413184,,,
102886,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus didelphis,NA,positive,1944898.5,,,
1028989,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. StFLB209,Pseudomonas sp. StFLB209,negative,6332373,,,
1029718,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Candidatus Neoarthromitus,Candidatus Arthromitus sp. SFB-mouse,Candidatus Arthromitus sp. SFB-mouse-Japan,positive,1620005,,,
1029756,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium nitrativorans,Hyphomicrobium nitrativorans NL23,negative,3653837,,,
1029825,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella melitensis,Brucella melitensis NI,negative,3294475,,,
1029978,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13,negative,4913633,,,
1029979,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120,negative,4781492,,,
1029983,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Abony str. 0014,negative,4737447,,,
1029997,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella enterica subsp. enterica serovar Heidelberg str. SARA35,negative,4751206,,,
1030009,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria monocytogenes M7,positive,2976163,,,
1030157,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. KC8,Sphingomonas sp. KC8,negative,4123013,,,
1030843,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Porphyromonas gingivalis TDC60,negative,2339898,,,
1031536,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,Campylobacter lari subsp. concheus LMG 11760,negative,1502102,,,
1031538,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas,Neptunomonas concharum,Neptunomonas concharum,negative,3602610.5,,,
1031542,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter volucris,Campylobacter volucris LMG 24379,negative,1528520,,,
1031564,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter insulaenigrae,Campylobacter insulaenigrae NCTC 12927,negative,1465081,,,
1031709,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes 6609,positive,2560282,,,
1031710,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia carboxidovorans,Afipia carboxidovorans OM4,negative,3839771,,,
1031711,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,Ralstonia solanacearum Po82,negative,5430263,,,
1031733,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter upsaliensis,Campylobacter upsaliensis RM3940,negative,1628950,,,
1031746,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hyointestinalis,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,negative,1753385,,,
1031752,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hyointestinalis,Campylobacter hyointestinalis subsp. lawsonii CCUG 27631,negative,1753277,,,
1031753,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lanienae,Campylobacter lanienae NCTC 13004,negative,1594554,,,
1031754,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum,Campylobacter sputorum aubsp. sputorum RM3237,negative,1752258,,,
1031920,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum,Campylobacter sputorum bv. faecalis CCUG 20703,negative,1757292,,,
1032066,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum,Campylobacter sputorum bv. paraureolyticus LMG 11764,negative,1725016,,,
1032067,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter mucosalis,Campylobacter mucosalis CCUG 21559,negative,1860007,,,
1032069,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus,Campylobacter ureolyticus RIGS 9880,negative,1641887,,,
1032070,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus,Aliarcobacter cryaerophilus ATCC 43158,negative,2107711.5,,,
1032071,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus,Aliarcobacter cryaerophilus D2610,negative,2055914,,,
1032238,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter mytili,Malaciobacter mytili LMG 24559,negative,3037595,,,
1032239,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter skirrowii,Aliarcobacter skirrowii CCUG 10374,negative,1969846,,,
1032240,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter thereius,Aliarcobacter thereius LMG 24486,negative,1912193,,,
1032241,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter trophiarum,Aliarcobacter trophiarum LMG 25534,negative,1915613,,,
1032242,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter molothri,Campylobacter sp. RM10537,negative,1489541,,,
1032243,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter californiensis,Campylobacter sp. RM6914,negative,1782759,,,
103232,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces ipomoeae,NA,positive,10814157,,,
1032480,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus,Microlunatus phosphovorus NM-1,positive,5683123,,,
1032623,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,Otariodibacter oris,Otariodibacter oris,negative,2008312.5,,,
1032845,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia conorii,Rickettsia conorii subsp. heilongjiangensis 054,negative,1278471,,,
1033732,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis JC50,negative,4020403,,,
1033846,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter adhaerens,Marinobacter adhaerens HP15,negative,4420856,,,
1033854,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio sulfidiphilus,Thioalkalivibrio sulfidiphilus HL-EbGr7,negative,3165285,,,
1033900,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. PMSZPI,NA,negative,4741859,,,
1033922,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. WB1,Rhodococcus sp. WB1,positive,6148559,,,
1034807,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium branchiophilum,Flavobacterium branchiophilum FL-15,negative,3563292,,,
1034809,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,Staphylococcus lugdunensis N920143,positive,2595888,,,
1034836,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,Bacillus amyloliquefaciens XH7,positive,3939203,,,
1034889,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. HW608,Variovorax sp. HW608,negative,7733665,,,
1035377,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yersinia pestis A1122,negative,4666488,,,
1035817,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. longum KACC 91563,positive,2395764,,,
1036171,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa,Paenibacillus polymyxa ATCC 842,variable,5903580,,,
1036172,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter butzleri,Aliarcobacter butzleri 7h1h,negative,2253233,,,
103621,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,NA,positive,2601882,,,
1036672,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis,Advenella kashmirensis WT001,negative,4423879,,,
1036673,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus mucilaginosus,Paenibacillus mucilaginosus KNP414,negative,8663821,,,
